gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000100307,0.302325581395349,0.666666666666667,0.0310077519379846,68.18,33.35,0.729411729699908,0.00972186138198139,0.0337787941341293,0.805663939083431
ENSG00000101017,0.162790697674419,0.666666666666667,0.170542635658915,53.75,21.17,0.910829608374265,0.00972186138198139,0.141083874065105,0.910536113438318
ENSG00000101298,0.201550387596899,0.666666666666667,0.131782945736434,58.36,19.84,0.873222544488604,0.00972186138198139,0.0941103515839999,0.918748073753413
ENSG00000101473,0.255813953488372,0.666666666666667,0.0775193798449613,53.82,17.13,0.803996589128952,0.00972186138198139,0.140268739715568,0.933702984845759
ENSG00000103227,0.178294573643411,0.666666666666667,0.155038759689923,69.86,31.11,0.896926568577487,0.00972186138198139,0.0277109611356661,0.829116129964942
ENSG00000106404,0.201550387596899,0.666666666666667,0.131782945736434,52.28,14.05,0.873222544488604,0.00972186138198139,0.158944328956767,0.948008675418909
ENSG00000106976,0.263565891472868,0.666666666666667,0.0697674418604651,69.35,22.48,0.792509303849266,0.00972186138198139,0.0294486832844619,0.901859374307329
ENSG00000108405,0.193798449612403,0.666666666666667,0.13953488372093,66.45,34,0.88151259890552,0.00972186138198139,0.0411290408605571,0.798507928351105
ENSG00000108479,0.263565891472868,0.666666666666667,0.0697674418604651,70.48,22.36,0.792509303849266,0.00972186138198139,0.0257143622748296,0.902678953010606
ENSG00000112511,0.294573643410853,0.666666666666667,0.0387596899224806,50.67,19.18,0.742754128845431,0.00972186138198139,0.180135438119335,0.922605829630909
ENSG00000126368,0.310077519379845,0.666666666666667,0.0232558139534884,59.52,21.09,0.715732360710401,0.00972186138198139,0.0843563807851314,0.911046888275611
ENSG00000142082,0.124031007751938,0.666666666666667,0.209302325581395,53.1,9.24,0.93942988950034,0.00972186138198139,0.148806296947793,0.965330574080903
ENSG00000149809,0.294573643410853,0.666666666666667,0.0387596899224806,65.4,29.56,0.742754128845431,0.00972186138198139,0.046189747786521,0.844236004825746
ENSG00000153234,0.294573643410853,0.666666666666667,0.0387596899224806,111.21,34.87,0.742754128845431,0.00972186138198139,2.33215796411335e-05,0.788686627122052
