gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000134287,0.302919708029197,0.602189781021898,0.0948905109489051,99.45,49.72,0.667658262678639,0.0391285992469288,0.258593794660492,0.762559729253593
ENSG00000137880,0.291970802919708,0.602189781021898,0.105839416058394,119.08,59.54,0.694129110413928,0.0391285992469288,0.117325026994649,0.682902306454188
ENSG00000140995,0.295620437956204,0.602189781021898,0.102189781021898,116.69,52.45,0.685408768167372,0.0391285992469288,0.130798524245118,0.741569815577772
ENSG00000141258,0.284671532846715,0.602189781021898,0.113138686131387,100,35.25,0.711239887281605,0.0391285992469288,0.253717011643676,0.856864048941239
ENSG00000171813,0.324817518248175,0.602189781021898,0.072992700729927,122.83,48.71,0.612250977413976,0.0391285992469288,0.0982179302685969,0.770081246412418
ENSG00000180035,0.204379562043796,0.602189781021898,0.193430656934307,108.1,39.9,0.864475542720257,0.0391285992469288,0.187813607584417,0.829778733336503
ENSG00000180304,0.281021897810219,0.602189781021898,0.116788321167883,110.1,40.7,0.71962283569173,0.0391285992469288,0.173332137129774,0.824807483847397
ENSG00000063854,0.302919708029197,0.598540145985402,0.0985401459854014,131.29,37.61,0.667658262678639,0.0415133254146767,0.0636502792276292,0.843503716682115
ENSG00000070759,0.332116788321168,0.598540145985402,0.0693430656934306,108.19,53.5,0.593194002805782,0.0415133254146767,0.187146306589078,0.733248133247881
ENSG00000110931,0.339416058394161,0.598540145985402,0.0620437956204379,134.87,53.51,0.573913720996631,0.0415133254146767,0.0522457949030671,0.733168232930316
ENSG00000124507,0.200729927007299,0.598540145985402,0.200729927007299,205.36,36.61,0.869781981547863,0.0415133254146767,0.000181680092902092,0.849261980137674
ENSG00000130193,0.328467153284672,0.598540145985402,0.072992700729927,118.6,58.38,0.602753154398686,0.0415133254146767,0.119948915060515,0.692880028093402
ENSG00000133275,0.222627737226277,0.598540145985402,0.178832116788321,118.13,35.67,0.835739125897364,0.0415133254146767,0.122557957038685,0.854544504726656
ENSG00000136828,0.255474452554745,0.598540145985402,0.145985401459854,137.2,43.06,0.77478480740973,0.0415133254146767,0.0457396061439984,0.809612599583897
